cluster_id,fp_count,percentage
DEL,5094,14.979709463035935
RAN,5032,14.797388696112451
BHO,5005,14.717990942774806
VAR,4989,14.670940422278422
MUM,4812,14.150444039287185
KOL,4587,13.488796094806798
CHN,4487,13.194730341704405
