seed,fp_count,percentage
42,4997,14.694465682526614
101,4800,14.115156148914899
202,4538,13.344703875786626
2024,4639,13.641710286420045
8888,4749,13.965182614832678
20260924,4850,14.262189025466093
45456231412727229999,5433,15.97659236605305
